Instance,TruckID,Destination,Cost,Capacity,DockPosition
12,2,1,348,6,4
12,3,2,591,6,2
12,4,1,348,6,2
12,5,1,348,6,2
12,6,2,591,6,4
12,7,3,233,6,5
13,1,2,367,6,2
13,2,2,367,6,3
13,3,1,778,6,6
13,4,3,636,6,2
13,5,3,636,6,6
13,6,1,778,6,3
13,7,2,367,6,4
14,1,3,314,6,5
14,2,2,667,6,3
14,3,4,379,6,6
14,4,2,667,6,4
14,5,4,379,6,2
14,6,5,202,6,6
14,7,4,379,6,6
14,8,1,401,6,6
15,1,1,619,6,2
15,2,2,623,6,4
15,3,3,543,6,4
15,4,3,543,6,6
15,5,1,619,6,3
16,1,2,213,6,4
16,2,1,227,6,2
16,3,1,227,6,4
16,4,1,227,6,6
16,5,2,213,6,3
16,6,1,227,6,3
16,7,2,213,6,3
16,8,1,227,6,3
16,9,2,213,6,5
16,10,1,227,6,4
17,1,1,673,6,2
17,2,1,673,6,4
17,3,1,673,6,5
17,4,3,594,6,6
17,5,2,220,6,6
17,6,3,594,6,6
18,1,5,369,6,3
18,2,3,610,6,5
18,3,4,629,6,5
18,4,4,629,6,6
18,5,3,610,6,5
18,6,2,664,6,4
18,7,4,629,6,5
18,8,2,664,6,2
18,9,1,248,6,3
18,10,1,248,6,3
19,1,2,241,6,4
19,2,3,750,6,5
19,3,1,382,6,5
19,4,3,750,6,6
19,5,2,241,6,6
19,6,5,265,6,3
19,7,5,265,6,4
19,8,3,750,6,6
19,9,2,241,6,3
19,10,2,241,6,5
20,1,3,291,6,2
20,2,1,656,6,3
20,3,4,648,6,5
20,4,3,291,6,6
20,5,1,656,6,2
20,6,3,291,6,4
20,7,2,722,6,6
20,8,4,648,6,3
20,9,2,722,6,6
20,10,4,648,6,3
21,1,4,583,6,6
21,2,3,328,6,6
21,3,2,600,6,6
21,4,5,775,6,2
21,5,4,583,6,3
21,6,4,583,6,3
21,7,4,583,6,3
21,8,4,583,6,2
22,1,1,629,6,3
22,2,2,359,6,4
22,3,2,359,6,4
22,4,3,265,6,6
22,5,1,629,6,2
22,6,2,359,6,6
22,7,1,629,6,3
22,8,3,265,6,4
22,9,3,265,6,3
23,1,1,314,6,4
23,2,3,515,6,3
23,3,3,515,6,3
23,4,2,339,6,2
23,5,2,339,6,3
23,6,2,339,6,6
23,7,2,339,6,4
23,8,2,339,6,4
23,9,2,339,6,6
23,10,1,314,6,6
24,1,3,293,6,6
24,2,1,372,6,4
24,3,1,372,6,2
24,4,3,293,6,2
24,5,5,635,6,4
24,6,2,682,6,3
24,7,2,682,6,6
25,1,1,763,6,4
25,2,2,328,6,6
25,3,3,777,6,5
25,4,2,328,6,4
25,5,2,328,6,6
25,6,2,328,6,5
26,1,2,684,6,2
26,2,1,306,6,2
26,3,2,684,6,4
26,4,2,684,6,2
26,5,1,306,6,2
27,1,2,729,6,2
27,2,2,729,6,5
27,3,1,260,6,4
27,4,1,260,6,5
27,5,1,260,6,3
27,6,2,729,6,2
27,7,1,260,6,6
28,1,2,535,6,6
28,2,2,535,6,6
28,3,1,714,6,3
28,4,2,535,6,6
28,5,2,535,6,2
28,6,2,535,6,3
29,1,2,516,6,3
29,2,1,687,6,6
29,3,2,516,6,6
29,4,2,516,6,6
29,5,1,687,6,5
29,6,1,687,6,3
29,7,2,516,6,2
30,1,2,250,6,3
30,2,1,273,6,4
30,3,2,250,6,5
30,4,2,250,6,3
30,5,1,273,6,4
30,6,1,273,6,3
30,7,1,273,6,5
30,8,1,273,6,5
